hotel	city	location	zone	star	mgrgroup	brand	openyear	roomquantity	ratingoverall	ratingroom	ratingatmosphere	ratingservice	ratingcostbenefit	fromrailway	fromairport	fromcitycenter	fromrailway2	fromairport2	fromcitycenter2	lat	lon	diy_breakfast	west_breakfast	chi_breakfast
7	1	94	37	5	37	12	1984-01-01	827	4.224	4.3497	4.4557	4.1964	3.8942	8.0	20.0	10.0	0.5	0.5	0.5	NULL	NULL	NULL	NULL	NULL
14	1	96	40	5	21	35	1987-01-01	670	4.6743	4.755	4.6284	4.7036	4.61	14.5	32.0	11.5	4.5	4.5	4.5	NULL	NULL	NULL	NULL	NULL
21	1	94	767	4	665	825	1982-04-01	459	4.5589	4.5935	4.7081	4.5531	4.3809	3.0	24.0	4.5	1.0	1.0	1.0	NULL	NULL	NULL	NULL	NULL
28	1	96	40	5	665	825	1984-01-01	655	4.3456	4.4209	4.4947	4.3262	4.1407	9.0	33.0	5.5	1.2999999523162842	1.2999999523162842	1.2999999523162842	NULL	NULL	NULL	98	60
35	1	102	892	3	0	0	1998-01-01	145	3.7845	3.67	4.5616	3.6108	3.2956	NULL	NULL	NULL	NULL	NULL	NULL	40.409217834472656	116.6839370727539	NULL	NULL	26
49	1	92	40	4	32	21	1990-11-01	333	4.4499	4.5198	4.5048	4.4868	4.2881	9.0	31.0	5.5	2.5	2.5	2.5	NULL	NULL	NULL	NULL	NULL
56	1	94	37	3	0	0	1990-01-01	388	4.1919	4.2	4.4857	4.177	3.9051	9.0	20.0	11.0	1.5	1.5	1.5	NULL	NULL	NULL	NULL	NULL
70	1	94	37	4	0	0	2008-07-01	252	4.56	4.6475	4.642	4.495	4.4557	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
119	1	94	138	4	0	0	1998-01-01	396	4.3406	4.4258	4.4246	4.2488	4.2631	15.0	21.0	10.0	0.5	0.5	0.5	NULL	NULL	NULL	NULL	NULL
154	1	96	40	3	0	0	1984-01-01	298	4.3079	4.3362	4.4688	4.3576	4.0691	NULL	NULL	10.0	4.300000190734863	4.300000190734863	4.300000190734863	NULL	NULL	NULL	NULL	NULL
161	1	94	147	2	0	0	1996-01-01	148	4.3108	4.3572	4.2467	4.4459	4.1932	NULL	NULL	6.0	NULL	NULL	NULL	39.89173126220703	116.45532989501953	NULL	NULL	NULL
217	1	92	40	4	0	0	1994-06-01	204	4.2885	4.3285	4.4621	4.3152	4.048	11.0	26.0	8.0	0.800000011920929	0.800000011920929	0.800000011920929	NULL	NULL	NULL	NULL	NULL
6482	1	94	137	3	0	0	1993-01-01	137	4.075	4.2	4.2	4.0667	3.8333	NULL	NULL	10.0	NULL	NULL	NULL	39.97134780883789	116.4539566040039	NULL	NULL	NULL
6566	1	93	137	4	0	0	1994-01-01	115	4.1793	4.2566	4.3431	4.1097	4.0077	NULL	NULL	2.0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
7077	1	96	36	2	0	0	1994-12-01	111	4.3456	4.3859	4.4463	4.3569	4.1934	NULL	NULL	NULL	NULL	NULL	NULL	39.93135070800781	116.30729675292969	NULL	NULL	NULL
7959	1	93	135	3	0	0	2012-11-01	122	4.2446	4.2951	4.4133	4.2976	3.9722	NULL	NULL	2.5	NULL	NULL	NULL	39.912261962890625	116.43058776855469	NULL	NULL	NULL
10934	1	96	136	5	0	0	1997-11-01	408	4.4397	4.5208	4.4348	4.4365	4.3665	10.5	37.0	8.5	1.0	1.0	1.0	NULL	NULL	NULL	NULL	NULL
